d-08-2026 10:26:33 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/ball_detection.pt
d-08-2026 10:26:33 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/bat_detection.pt
d-08-2026 10:26:34 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/stump_detection.pt
d-08-2026 10:26:34 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/pose_detection.pt
d-08-2026 10:26:35 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:26:36 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 0 detection(s)
d-08-2026 10:26:37 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 0 detection(s)
d-08-2026 10:26:37 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 0, humans: 0
d-08-2026 10:26:54 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/ball_detection.pt
d-08-2026 10:26:54 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/bat_detection.pt
d-08-2026 10:26:54 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/stump_detection.pt
d-08-2026 10:26:55 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/pose_detection.pt
d-08-2026 10:26:56 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:27:11 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/ball_detection.pt
d-08-2026 10:27:11 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/bat_detection.pt
d-08-2026 10:27:11 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/stump_detection.pt
d-08-2026 10:27:11 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/pose_detection.pt
d-08-2026 10:27:13 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 0 detection(s)
d-08-2026 10:33:46 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/ball_detection.pt
d-08-2026 10:33:46 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/bat_detection.pt
d-08-2026 10:33:46 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/stump_detection.pt
d-08-2026 10:33:47 | DEBUG    | ball_tracking.models.infer | Model loaded on CPU: models/weights/pose_detection.pt
d-08-2026 10:33:47 | INFO     | ball_tracking.ball_tracking.video_processor | Processing clip: E:\full_pitch_clips\Video_20260324_125035_567.mp4 (263 frames)
d-08-2026 10:33:48 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:33:48 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:33:49 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:33:49 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:33:50 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:33:50 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:33:51 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:33:51 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:33:52 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:33:52 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:33:53 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:33:53 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:33:54 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
d-08-2026 10:33:54 | DEBUG    | ball_tracking.ball_tracking.detectors | StumpDetector: found 2 detection(s)
d-08-2026 10:33:55 | DEBUG    | ball_tracking.ball_tracking.detectors | HumanDetector: found 1 detection(s)
d-08-2026 10:33:55 | INFO     | ball_tracking.ball_tracking.pipeline | Frame detections -> balls: 0, stumps: 2, humans: 1
d-08-2026 10:33:55 | DEBUG    | ball_tracking.ball_tracking.detectors | BallDetector: found 0 detection(s)
